"PassengerId","Survived","titanicTest.Pclass","titanicTest.isMale","titanicTest.Age","titanicTest.Family","titanicTest.Embarked","titanicTest.Title","titanicTest.Deck"
953,0,2,1,32,0,"S","Mr.","F"
954,0,3,1,18,0,"S","Mr.","F"
955,0,3,0,22,0,"Q","Miss.","G"
956,1,1,1,13,4,"C","Master.","B"
957,1,2,0,39,0,"S","Mrs.","F"
958,0,3,0,18,0,"Q","Miss.","G"
959,0,1,1,47,0,"S","Mr.","A"
960,0,1,1,31,0,"C","Mr.","C"
961,1,1,0,60,5,"S","Mrs.","C"
962,0,3,0,24,0,"Q","Miss.","G"
963,0,3,1,21,0,"S","Mr.","F"
964,0,3,0,29,0,"S","Miss.","G"
965,1,1,1,28.5,0,"C","Mr.","D"
966,1,1,0,35,0,"C","Miss.","C"
967,0,1,1,32.5,0,"C","Mr.","C"
968,0,3,1,33,0,"S","Mr.","F"
969,1,1,0,55,2,"S","Mrs.","C"
970,0,2,1,30,0,"S","Mr.","F"
971,0,3,0,24,0,"Q","Miss.","G"
972,1,3,1,6,2,"C","Master.","F"
973,0,1,1,67,1,"S","Mr.","C"
974,0,1,1,49,0,"S","Mr.","B"
975,0,3,1,33,0,"S","Mr.","F"
976,0,2,1,33,0,"Q","Mr.","C"
977,0,3,1,33,1,"C","Mr.","F"
978,0,3,0,27,0,"Q","Miss.","G"
979,0,3,0,18,0,"S","Miss.","G"
980,0,3,0,22,0,"Q","Miss.","G"
981,1,2,1,2,2,"S","Master.","F"
982,1,3,0,22,1,"S","Mrs.","F"
983,0,3,1,33,0,"S","Mr.","F"
984,1,1,0,27,3,"S","Mrs.","B"
985,0,3,1,33,0,"S","Mr.","F"
986,1,1,1,25,0,"C","Mr.","E"
987,0,3,1,25,0,"S","Mr.","F"
988,1,1,0,76,1,"S","Mrs.","C"
989,0,3,1,29,0,"S","Mr.","F"
990,0,3,0,20,0,"S","Miss.","G"
991,0,3,1,33,0,"S","Mr.","F"
992,1,1,0,43,1,"C","Mrs.","C"
993,0,2,1,27,1,"S","Mr.","F"
994,0,3,1,33,0,"Q","Mr.","C"
995,0,3,1,26,0,"S","Mr.","F"
996,1,3,0,16,2,"C","Mrs.","F"
997,0,3,1,28,0,"S","Mr.","F"
998,0,3,1,21,0,"Q","Mr.","G"
999,0,3,1,33,0,"Q","Mr.","C"
1000,0,3,1,33,0,"S","Mr.","F"
1001,0,2,1,18.5,0,"S","Mr.","F"
1002,0,2,1,41,0,"C","Mr.","A"
1003,0,3,0,22,0,"Q","Miss.","G"
1004,1,1,0,36,0,"C","Miss.","A"
1005,0,3,0,18.5,0,"Q","Miss.","G"
1006,1,1,0,63,1,"S","Mrs.","C"
1007,0,3,1,18,1,"C","Mr.","F"
1008,0,3,1,33,0,"C","Mr.","F"
1009,0,3,0,1,2,"S","Miss.","G"
1010,0,1,1,36,0,"C","Mr.","C"
1011,1,2,0,29,1,"S","Mrs.","F"
1012,1,2,0,12,0,"S","Miss.","G"
1013,0,3,1,33,1,"Q","Mr.","G"
1014,1,1,0,35,1,"C","Mrs.","C"
1015,0,3,1,28,0,"S","Mr.","F"
1016,0,3,1,33,0,"Q","Mr.","G"
1017,0,3,0,17,1,"S","Miss.","G"
1018,0,3,1,22,0,"S","Mr.","F"
1019,0,3,0,22,2,"Q","Miss.","G"
1020,0,2,1,42,0,"S","Mr.","D"
1021,0,3,1,24,0,"S","Mr.","F"
1022,0,3,1,32,0,"S","Mr.","F"
1023,0,1,1,53,0,"C","Mr.","C"
1024,1,3,0,39,4,"S","Mrs.","F"
1025,0,3,1,33,1,"C","Mr.","F"
1026,0,3,1,43,0,"S","Mr.","F"
1027,0,3,1,24,0,"S","Mr.","F"
1028,0,3,1,26.5,0,"C","Mr.","F"
1029,0,2,1,26,0,"S","Mr.","F"
1030,0,3,0,23,0,"S","Miss.","G"
1031,0,3,1,40,7,"S","Mr.","F"
1032,1,3,0,10,7,"S","Miss.","F"
1033,1,1,0,33,0,"S","Miss.","A"
1034,0,1,1,61,4,"C","Mr.","B"
1035,0,2,1,28,0,"S","Mr.","F"
1036,0,1,1,42,0,"S","Mr.","B"
1037,0,3,1,31,3,"S","Mr.","F"
1038,1,1,1,33,0,"S","Mr.","E"
1039,0,3,1,22,0,"S","Mr.","F"
1040,1,1,1,33,0,"S","Mr.","D"
1041,0,2,1,30,2,"S","Mr.","F"
1042,1,1,0,23,1,"C","Mrs.","C"
1043,0,3,1,33,0,"C","Mr.","F"
1044,0,3,1,60.5,0,"S","Mr.","F"
1045,1,3,0,36,2,"S","Mrs.","F"
1046,1,3,1,13,6,"S","Master.","F"
1047,0,3,1,24,0,"S","Mr.","F"
1048,1,1,0,29,0,"S","Miss.","C"
1049,0,3,0,23,0,"S","Miss.","G"
1050,1,1,1,42,0,"S","Mr.","D"
1051,1,3,0,26,2,"S","Mrs.","F"
1052,0,3,0,22,0,"Q","Miss.","G"
1053,1,3,1,7,2,"C","Master.","F"
1054,0,2,0,26,0,"S","Miss.","G"
1055,0,3,1,33,0,"S","Mr.","F"
1056,0,2,1,41,0,"S","Mr.","F"
1057,1,3,0,26,2,"S","Mrs.","F"
1058,0,1,1,48,0,"C","Mr.","B"
1059,0,3,1,18,4,"S","Mr.","F"
1060,1,1,0,39,0,"C","Mrs.","C"
1061,0,3,0,22,0,"S","Miss.","G"
1062,0,3,1,33,0,"S","Mr.","F"
1063,0,3,1,27,0,"C","Mr.","F"
1064,0,3,1,23,1,"S","Mr.","F"
1065,0,3,1,33,0,"C","Mr.","F"
1066,0,3,1,40,6,"S","Mr.","F"
1067,1,2,0,15,2,"S","Miss.","F"
1068,0,2,0,20,0,"S","Miss.","G"
1069,0,1,1,54,1,"C","Mr.","C"
1070,1,2,0,36,3,"S","Mrs.","F"
1071,1,1,0,64,2,"C","Mrs.","E"
1072,0,2,1,30,0,"S","Mr.","F"
1073,1,1,1,37,2,"C","Mr.","E"
1074,1,1,0,18,1,"S","Mrs.","D"
1075,0,3,1,33,0,"Q","Mr.","G"
1076,1,1,0,27,2,"C","Mrs.","B"
1077,0,2,1,40,0,"S","Mr.","F"
1078,1,2,0,21,1,"S","Miss.","F"
1079,0,3,1,17,2,"S","Mr.","F"
1080,1,3,0,22,10,"S","Miss.","F"
1081,0,2,1,40,0,"S","Mr.","F"
1082,0,2,1,34,1,"S","Mr.","F"
1083,0,1,1,33,0,"S","Mr.","C"
1084,1,3,1,11.5,2,"S","Master.","F"
1085,0,2,1,61,0,"Q","Mr.","C"
1086,1,2,1,8,2,"S","Master.","F"
1087,0,3,1,33,0,"S","Mr.","F"
1088,1,1,1,6,2,"C","Master.","E"
1089,0,3,0,18,0,"S","Miss.","G"
1090,0,2,1,23,0,"S","Mr.","F"
1091,1,3,0,39,0,"S","Mrs.","F"
1092,0,3,0,22,0,"Q","Miss.","G"
1093,1,3,1,0.33,2,"S","Master.","F"
1094,0,1,1,47,1,"C","Mr.","C"
1095,1,2,0,8,2,"S","Miss.","G"
1096,0,2,1,25,0,"S","Mr.","F"
1097,1,1,1,33,0,"C","Mr.","D"
1098,0,3,0,35,0,"Q","Miss.","G"
1099,0,2,1,24,0,"S","Mr.","F"
1100,1,1,0,33,0,"C","Miss.","A"
1101,0,3,1,25,0,"S","Mr.","F"
1102,0,3,1,32,0,"S","Mr.","F"
1103,0,3,1,33,0,"S","Mr.","F"
1104,0,2,1,17,0,"S","Mr.","F"
1105,1,2,0,60,1,"S","Mrs.","D"
1106,1,3,0,38,6,"S","Miss.","F"
1107,0,1,1,42,0,"S","Mr.","B"
1108,0,3,0,22,0,"Q","Miss.","G"
1109,0,1,1,57,2,"S","Mr.","A"
1110,1,1,0,50,2,"C","Mrs.","C"
1111,0,3,1,33,0,"S","Mr.","F"
1112,1,2,0,30,1,"C","Miss.","C"
1113,0,3,1,21,0,"S","Mr.","F"
1114,1,2,0,22,0,"S","Mrs.","F"
1115,0,3,1,21,0,"S","Mr.","F"
1116,1,1,0,53,0,"C","Mrs.","A"
1117,1,3,0,39,2,"C","Mrs.","F"
1118,0,3,1,23,0,"S","Mr.","F"
1119,0,3,0,22,0,"Q","Miss.","G"
1120,0,3,1,40.5,0,"S","Mr.","F"
1121,0,2,1,36,0,"S","Mr.","F"
1122,0,2,1,14,0,"S","Mr.","F"
1123,1,1,0,21,0,"S","Miss.","C"
1124,0,3,1,21,1,"S","Mr.","F"
1125,0,3,1,33,0,"Q","Mr.","G"
1126,0,1,1,39,1,"C","Mr.","C"
1127,0,3,1,20,0,"S","Mr.","F"
1128,0,1,1,64,1,"C","Mr.","D"
1129,0,3,1,20,0,"C","Mr.","F"
1130,1,2,0,18,2,"S","Miss.","G"
1131,1,1,0,48,1,"C","Mrs.","C"
1132,1,1,0,55,0,"C","Mrs.","D"
1133,1,2,0,45,2,"S","Mrs.","F"
1134,1,1,1,45,2,"C","Mr.","E"
1135,0,3,1,33,0,"S","Mr.","F"
1136,1,3,1,7,3,"S","Master.","F"
1137,1,1,1,41,1,"S","Mr.","D"
1138,1,2,0,22,0,"S","Mrs.","F"
1139,0,2,1,42,2,"S","Mr.","F"
1140,1,2,0,29,1,"S","Mrs.","F"
1141,1,3,0,39,1,"C","Mrs.","F"
1142,1,2,0,0.92,3,"S","Miss.","G"
1143,0,3,1,20,0,"S","Mr.","F"
1144,0,1,1,27,1,"C","Mr.","C"
1145,0,3,1,24,0,"S","Mr.","F"
1146,0,3,1,32.5,0,"S","Mr.","F"
1147,0,3,1,33,0,"S","Mr.","F"
1148,0,3,1,33,0,"Q","Mr.","G"
1149,0,3,1,28,0,"S","Mr.","F"
1150,0,2,0,19,0,"S","Miss.","G"
1151,0,3,1,21,0,"S","Mr.","F"
1152,0,3,1,36.5,1,"S","Mr.","F"
1153,0,3,1,21,0,"S","Mr.","F"
1154,1,2,0,29,2,"S","Mrs.","F"
1155,0,3,0,1,2,"S","Miss.","G"
1156,0,2,1,30,0,"C","Mr.","D"
1157,0,3,1,33,0,"S","Mr.","F"
1158,0,1,1,33,0,"S","Mr.","C"
1159,0,3,1,33,0,"S","Mr.","F"
1160,0,3,0,22,0,"S","Miss.","G"
1161,0,3,1,17,0,"S","Mr.","F"
1162,0,1,1,46,0,"C","Mr.","C"
1163,0,3,1,33,0,"Q","Mr.","G"
1164,1,1,0,26,1,"C","Mrs.","C"
1165,0,3,0,22,1,"Q","Miss.","G"
1166,0,3,1,33,0,"C","Mr.","F"
1167,0,2,0,20,1,"S","Miss.","G"
1168,0,2,1,28,0,"S","Mr.","F"
1169,0,2,1,40,1,"S","Mr.","F"
1170,0,2,1,30,1,"S","Mr.","F"
1171,0,2,1,22,0,"S","Mr.","F"
1172,0,3,0,23,0,"S","Miss.","G"
1173,1,3,1,0.75,2,"S","Master.","F"
1174,0,3,0,22,0,"Q","Miss.","G"
1175,0,3,0,9,2,"C","Miss.","G"
1176,0,3,0,2,2,"S","Miss.","G"
1177,0,3,1,36,0,"S","Mr.","F"
1178,0,3,1,33,0,"S","Mr.","F"
1179,1,1,1,24,1,"S","Mr.","B"
1180,0,3,1,33,0,"C","Mr.","F"
1181,0,3,1,33,0,"S","Mr.","F"
1182,1,1,1,33,0,"S","Mr.","B"
1183,0,3,0,30,0,"Q","Miss.","G"
1184,0,3,1,33,0,"C","Mr.","F"
1185,0,1,1,53,2,"S","Mr.","A"
1186,0,3,1,36,0,"S","Mr.","F"
1187,0,3,1,26,0,"S","Mr.","F"
1188,1,2,0,1,3,"C","Miss.","B"
1189,0,3,1,33,2,"C","Mr.","F"
1190,0,1,1,30,0,"S","Mr.","C"
1191,0,3,1,29,0,"S","Mr.","F"
1192,0,3,1,32,0,"S","Mr.","F"
1193,0,2,1,33,0,"C","Mr.","D"
1194,0,2,1,43,1,"S","Mr.","F"
1195,0,3,1,24,0,"S","Mr.","F"
1196,0,3,0,22,0,"Q","Miss.","G"
1197,1,1,0,64,2,"S","Mrs.","B"
1198,0,1,1,30,3,"S","Mr.","C"
1199,1,3,1,0.83,1,"S","Master.","F"
1200,0,1,1,55,2,"S","Mr.","B"
1201,1,3,0,45,1,"S","Mrs.","F"
1202,0,3,1,18,0,"S","Mr.","F"
1203,0,3,1,22,0,"C","Mr.","F"
1204,0,3,1,33,0,"S","Mr.","F"
1205,0,3,0,37,0,"Q","Miss.","G"
1206,1,1,0,55,0,"C","Mrs.","C"
1207,0,3,0,17,0,"Q","Miss.","G"
1208,0,1,1,57,1,"C","Mr.","B"
1209,0,2,1,19,0,"S","Mr.","F"
1210,0,3,1,27,0,"S","Mr.","F"
1211,0,2,1,22,2,"S","Mr.","F"
1212,0,3,1,26,0,"S","Mr.","F"
1213,0,3,1,25,0,"C","Mr.","F"
1214,0,2,1,26,0,"S","Mr.","F"
1215,1,1,1,33,0,"S","Mr.","B"
1216,1,1,0,39,0,"S","Miss.","B"
1217,0,3,1,23,0,"S","Mr.","F"
1218,1,2,0,12,3,"S","Miss.","F"
1219,0,1,1,46,0,"C","Mr.","C"
1220,0,2,1,29,1,"S","Mr.","F"
1221,0,2,1,21,0,"S","Mr.","F"
1222,1,2,0,48,2,"S","Mrs.","F"
1223,0,1,1,39,0,"C","Mr.","A"
1224,0,3,1,33,0,"C","Mr.","F"
1225,1,3,0,19,2,"C","Mrs.","F"
1226,0,3,1,27,0,"S","Mr.","F"
1227,0,1,1,30,0,"S","Mr.","C"
1228,0,2,1,32,0,"S","Mr.","F"
1229,0,3,1,39,2,"C","Mr.","D"
1230,0,2,1,25,0,"S","Mr.","F"
1231,0,3,1,7,0,"C","Master.","G"
1232,0,2,1,18,0,"S","Mr.","F"
1233,0,3,1,32,0,"S","Mr.","F"
1234,0,3,1,33,10,"S","Mr.","F"
1235,1,1,0,58,1,"C","Mrs.","B"
1236,0,3,1,7,2,"S","Master.","G"
1237,0,3,0,16,0,"S","Miss.","G"
1238,0,2,1,26,0,"S","Mr.","F"
1239,0,3,0,38,0,"C","Mrs.","G"
1240,1,2,1,24,0,"S","Mr.","D"
1241,0,2,0,31,0,"S","Miss.","G"
1242,1,1,0,45,1,"C","Mrs.","D"
1243,0,2,1,25,0,"S","Mr.","F"
1244,0,2,1,18,0,"S","Mr.","F"
1245,0,2,1,49,3,"S","Mr.","F"
1246,0,3,0,0.17,3,"S","Miss.","G"
1247,1,1,1,50,0,"S","Mr.","E"
1248,1,1,0,59,2,"S","Mrs.","C"
1249,0,3,1,33,0,"S","Mr.","F"
1250,0,3,1,33,0,"Q","Mr.","G"
1251,1,3,0,30,1,"S","Mrs.","F"
1252,1,3,1,14.5,10,"S","Master.","F"
1253,1,2,0,24,2,"C","Mrs.","D"
1254,1,2,0,31,0,"S","Mrs.","F"
1255,0,3,1,27,0,"S","Mr.","F"
1256,1,1,0,25,1,"C","Mrs.","E"
1257,1,3,0,39,10,"S","Mrs.","F"
1258,0,3,1,33,1,"C","Mr.","F"
1259,0,3,0,22,0,"S","Miss.","G"
1260,1,1,0,45,1,"C","Mrs.","D"
1261,0,2,1,29,0,"C","Mr.","D"
1262,1,2,1,21,1,"S","Mr.","E"
1263,1,1,0,31,0,"C","Miss.","E"
1264,0,1,1,49,0,"S","Mr.","B"
1265,0,2,1,44,0,"S","Mr.","D"
1266,1,1,0,54,2,"S","Mrs.","A"
1267,1,1,0,45,0,"C","Miss.","A"
1268,1,3,0,22,2,"S","Miss.","F"
1269,0,2,1,21,0,"S","Mr.","F"
1270,0,1,1,55,0,"S","Mr.","C"
1271,1,3,1,5,6,"S","Master.","F"
1272,0,3,1,33,0,"Q","Mr.","G"
1273,0,3,1,26,0,"Q","Mr.","G"
1274,1,3,0,39,0,"S","Mrs.","F"
1275,1,3,0,19,1,"S","Mrs.","F"
1276,0,2,1,33,0,"S","Mr.","F"
1277,1,2,0,24,3,"S","Miss.","F"
1278,0,3,1,24,0,"S","Mr.","F"
1279,0,2,1,57,0,"S","Mr.","D"
1280,0,3,1,21,0,"Q","Mr.","G"
1281,1,3,1,6,4,"S","Master.","F"
1282,1,1,1,23,0,"S","Mr.","B"
1283,1,1,0,51,1,"S","Mrs.","D"
1284,1,3,1,13,2,"S","Master.","F"
1285,0,2,1,47,0,"S","Mr.","D"
1286,0,3,1,29,4,"S","Mr.","F"
1287,1,1,0,18,1,"S","Mrs.","C"
1288,0,3,1,24,0,"Q","Mr.","G"
1289,1,1,0,48,2,"C","Mrs.","B"
1290,0,3,1,22,0,"S","Mr.","F"
1291,0,3,1,31,0,"Q","Mr.","G"
1292,1,1,0,30,0,"S","Miss.","C"
1293,0,2,1,38,1,"S","Mr.","F"
1294,1,1,0,22,1,"C","Miss.","C"
1295,1,1,1,17,0,"S","Mr.","D"
1296,1,1,1,43,1,"C","Mr.","D"
1297,1,2,1,20,0,"C","Mr.","D"
1298,0,2,1,23,1,"S","Mr.","F"
1299,0,1,1,50,2,"C","Mr.","C"
1300,0,3,0,22,0,"Q","Miss.","G"
1301,1,3,0,3,2,"S","Miss.","F"
1302,0,3,0,22,0,"Q","Miss.","G"
1303,1,1,0,37,1,"Q","Mrs.","C"
1304,0,3,0,28,0,"S","Miss.","G"
1305,0,3,1,33,0,"S","Mr.","F"
1306,1,1,0,39,0,"C","Mrs.","C"
1307,0,3,1,38.5,0,"S","Mr.","F"
1308,0,3,1,33,0,"S","Mr.","F"
1309,0,3,1,7,2,"C","Master.","G"
